date,region,store_id,product_id,product_name,category,unit_price,units_sold,revenue,cost,profit,sales_rep_id
2025-01-01,Lagos,S002,P0089,Product 89,Home & Garden,222.75,11,2450.25,1999.03,451.22,R17
2025-01-01,Port Harcourt,S007,P0065,Product 65,Groceries,423.16,36,15233.76,10906.37,4327.39,R16
2025-01-01,Ibadan,S005,P0046,Product 46,Electronics,471.01,6,2826.06,1616.83,1209.23,R03
2025-01-01,Ibadan,S015,P0067,Product 67,Groceries,218.11,22,4798.42,2554.55,2243.87,R12
2025-01-01,Abuja,S015,P0026,Product 26,Fashion,197.36,38,7499.68,5161.05,2338.63,R16
2025-01-01,Port Harcourt,S005,P0055,Product 55,Fashion,395.1,20,7902.0,6376.88,1525.12,R06
2025-01-01,Ibadan,S008,P0016,Product 16,Groceries,71.0,15,1065.0,762.48,302.52,R07
2025-01-01,Lagos,S011,P0049,Product 49,Groceries,66.3,5,331.5,186.14,145.36,R05
2025-01-01,Port Harcourt,S006,P0075,Product 75,Health & Beauty,499.92,8,3999.36,2333.7,1665.66,R11
2025-01-02,Ibadan,S014,P0009,Product 9,Fashion,496.3,34,16874.2,8450.09,8424.11,R10
2025-01-02,Lagos,S004,P0026,Product 26,Fashion,396.78,38,15077.64,8917.66,6159.98,R19
2025-01-02,Kano,S005,P0092,Product 92,Electronics,475.46,4,1901.84,1040.94,860.9,R03
2025-01-02,Kano,S001,P0017,Product 17,Home & Garden,297.37,36,10705.32,7439.47,3265.85,R16
2025-01-02,Ibadan,S009,P0029,Product 29,Home & Garden,279.07,20,5581.4,3708.96,1872.44,R02
2025-01-02,Lagos,S001,P0034,Product 34,Electronics,160.65,15,2409.75,1761.2,648.55,R07
2025-01-02,Abuja,S007,P0019,Product 19,Electronics,298.59,19,5673.21,2960.65,2712.56,R14
2025-01-02,Lagos,S011,P0076,Product 76,Groceries,382.53,4,1530.12,990.45,539.67,R13
2025-01-02,Ibadan,S007,P0070,Product 70,Home & Garden,166.35,25,4158.75,2737.27,1421.48,R20
2025-01-02,Kano,S013,P0093,Product 93,Fashion,77.26,26,2008.76,1338.87,669.89,R14
2025-01-03,Ibadan,S012,P0024,Product 24,Electronics,160.62,23,3694.26,2239.49,1454.77,R19
2025-01-03,Ibadan,S013,P0046,Product 46,Electronics,248.7,48,11937.6,9927.57,2010.03,R01
2025-01-03,Lagos,S014,P0073,Product 73,Health & Beauty,445.09,32,14242.88,9735.05,4507.83,R20
2025-01-03,Abuja,S010,P0041,Product 41,Home & Garden,120.06,11,1320.66,876.08,444.58,R05
2025-01-03,Port Harcourt,S010,P0029,Product 29,Home & Garden,310.87,27,8393.49,5960.02,2433.47,R13
2025-01-03,Kano,S002,P0007,Product 7,Fashion,293.54,39,11448.06,6802.65,4645.41,R12
2025-01-03,Abuja,S015,P0029,Product 29,Home & Garden,266.51,8,2132.08,1455.81,676.27,R05
2025-01-03,Ibadan,S010,P0015,Product 15,Home & Garden,57.26,6,343.56,243.38,100.18,R12
2025-01-04,Port Harcourt,S010,P0002,Product 2,Health & Beauty,26.52,19,503.88,377.54,126.34,R14
2025-01-04,Port Harcourt,S007,P0016,Product 16,Groceries,462.62,36,16654.32,13602.24,3052.08,R11
